
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:96:9D:68:4A:D1, 2016-03-18 18:34:31, 2016-03-18 18:34:35, 11,  54, WPA2, CCMP,PSK, -74,       33,       29,   0.  0.  0.  0,  22, Julian's Wi-Fi Network, 
F8:D1:11:41:B5:08, 2016-03-18 18:34:31, 2016-03-18 18:34:35, 11,  54, WPA2WPA , CCMP TKIP,PSK, -55,       11,        0,   0.  0.  0.  0,   3, 519, 
00:22:6B:70:28:8E, 2016-03-18 18:34:31, 2016-03-18 18:34:35, 11,  54, WPA2, CCMP TKIP,PSK, -74,        6,        1,   0.  0.  0.  0,   8, chim_vip, 
2E:37:31:01:BB:53, 2016-03-18 18:34:31, 2016-03-18 18:34:35,  1,  54, WPA2, CCMP,PSK, -63,        4,        0,   0.  0.  0.  0,  10, AndroidMob, 
4C:5E:0C:E1:F0:0D, 2016-03-18 18:34:31, 2016-03-18 18:34:35,  1,  54, WPA2WPA , CCMP,PSK, -76,        6,        0,   0.  0.  0.  0,   9, PM Office, 
52:2E:5C:45:6E:D7, 2016-03-18 18:34:31, 2016-03-18 18:34:35,  1,  54, WPA2, CCMP,PSK, -66,        5,        0,   0.  0.  0.  0,   9, kolchakov, 
D0:C2:82:AF:5C:E1, 2016-03-18 18:34:31, 2016-03-18 18:34:31, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
F8:A9:D0:0A:D8:C3, 2016-03-18 18:34:31, 2016-03-18 18:34:35,  6,  54, WPA2, CCMP,PSK, -70,        3,        0,   0.  0.  0.  0,  10, Ñ.Ð¹Ñ.Ð¹Ñ., 
20:AA:4B:50:99:E6, 2016-03-18 18:34:31, 2016-03-18 18:34:35,  6,  54, WPA2, CCMP TKIP,PSK, -70,        8,        1,   0.  0.  0.  0,  12, ch_wireless2, 
00:02:6F:CA:63:70, 2016-03-18 18:34:32, 2016-03-18 18:34:35, 11,  54, OPN ,       ,   , -59,        8,        1,  10. 21.  6. 46,  22, VIVACOM FREE WiFi Zone, 
00:02:6F:DC:46:54, 2016-03-18 18:34:32, 2016-03-18 18:34:35, 12,  54, OPN ,       ,   , -29,       16,        7,   0.  0.  0.  0,  23, VIVACOM Free Wi-Fi Zone, 
00:23:69:79:8F:48, 2016-03-18 18:34:32, 2016-03-18 18:34:33,  2,  54, WPA , TKIP,PSK, -73,        3,        1,   0.  0.  0.  0,  12, ccb-life-btc, 
00:02:6F:CC:99:20, 2016-03-18 18:34:32, 2016-03-18 18:34:33,  3,  54, OPN ,       ,   , -72,        8,        0,   0.  0.  0.  0,  23, VIVACOM Free Wi-Fi Zone, 
00:15:EB:E8:E4:A3, 2016-03-18 18:34:32, 2016-03-18 18:34:33,  3,  54, WPA , TKIP,PSK, -71,        6,        0,   0.  0.  0.  0,   7, Alcatel, 
2C:3F:38:5B:09:41, 2016-03-18 18:34:33, 2016-03-18 18:34:33, -1,  -1,     ,       ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1D:20:F0:96:C2, 2016-03-18 18:34:34, 2016-03-18 18:34:34,  5,  54, WPA , TKIP,PSK, -72,        4,        0,   0.  0.  0.  0,  11, PRENOS-STTS, 
4C:5E:0C:2C:E1:05, 2016-03-18 18:34:35, 2016-03-18 18:34:35,  1,  54, WPA2WPA , CCMP TKIP,PSK, -76,        0,        0,   0.  0.  0.  0,  11, ch_wireless, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:26:AB:9D:96:7A, 2016-03-18 18:34:31, 2016-03-18 18:34:33, -71,       14, 2C:3F:38:5B:09:41,
F0:25:B7:0B:FF:9D, 2016-03-18 18:34:32, 2016-03-18 18:34:35, -53,        2, 00:02:6F:DC:46:54,
50:2E:5C:D3:49:E0, 2016-03-18 18:34:33, 2016-03-18 18:34:33, -84,        1, (not associated) ,
98:D6:F7:65:CD:ED, 2016-03-18 18:34:33, 2016-03-18 18:34:34, -52,       49, (not associated) , HackBulgaria,betahaus,M&M,Balkan_HotSpot,Sergo,TelerikAcademy,Mehana Doiran 2,0asis,angeleski,TP-LINK_C1608A
E0:2A:82:AA:02:A1, 2016-03-18 18:34:33, 2016-03-18 18:34:35, -57,        4, 00:02:6F:DC:46:54,
58:A2:B5:CB:FD:19, 2016-03-18 18:34:34, 2016-03-18 18:34:35, -66,       17, 00:02:6F:DC:46:54,
90:18:7C:E0:57:7C, 2016-03-18 18:34:34, 2016-03-18 18:34:34, -65,        4, (not associated) ,
00:EE:BD:85:7C:B8, 2016-03-18 18:34:34, 2016-03-18 18:34:34, -72,        5, 00:02:6F:CA:63:70,
A0:88:B4:CF:50:68, 2016-03-18 18:34:34, 2016-03-18 18:34:34, -69,        4, 00:02:6F:CA:63:70,
78:4B:87:5F:58:F5, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -69,        3, 00:02:6F:DC:46:54,
5C:96:9D:79:AA:F1, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -61,        6, 00:02:6F:DC:46:54,
84:38:38:AC:D7:FA, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -71,        1, 00:02:6F:DC:46:54,
1C:3E:84:E6:ED:7D, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -67,        1, 00:02:6F:DC:46:54,
74:5C:9F:44:F4:42, 2016-03-18 18:34:35, 2016-03-18 18:34:35,  -1,        4, 00:02:6F:DC:46:54,
0C:41:3E:9E:EC:12, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -62,        1, 00:02:6F:DC:46:54,
14:9A:10:C9:A2:E2, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -67,        2, 00:02:6F:DC:46:54,
58:48:22:57:C5:93, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -63,        2, 00:02:6F:DC:46:54,
EC:5A:86:E2:63:60, 2016-03-18 18:34:35, 2016-03-18 18:34:35, -79,        8, 00:02:6F:DC:46:54,

